"","V1"
"AbrahamLincoln-1",4
"AbrahamLincoln-2",3
"AndrewJackson-1",4
"AndrewJackson-2",4
"BarackObama-1",6
"BarackObama-2",6
"BenjaminHarrison-1",2
"CalvinCoolidge-1",8
"DonaldJTrump-1",6
"DwightDEisenhower-1",1
"DwightDEisenhower-2",1
"FranklinDRoosevelt-1",8
"FranklinDRoosevelt-2",8
"FranklinDRoosevelt-3",6
"FranklinDRoosevelt-4",6
"FranklinPierce-1",4
"GeorgeBush-1",6
"GeorgeWBush-1",6
"GeorgeWBush-2",6
"GeorgeWashington-1",5
"GeorgeWashington-2",4
"GroverCleveland-I-1",5
"GroverCleveland-II-2",5
"HarrySTruman-1",8
"HerbertHoover-1",8
"JamesBuchanan-1",4
"JamesGarfield-1",2
"JamesKPolk-1",4
"JamesMadison-1",7
"JamesMadison-2",7
"JamesMonroe-1",7
"JamesMonroe-2",7
"JimmyCarter-1",6
"JohnAdams-1",7
"JohnFKennedy-1",3
"JohnQuincyAdams-1",4
"LyndonBJohnson-1",3
"MartinvanBuren-1",4
"RichardNixon-1",6
"RichardNixon-2",6
"RonaldReagan-1",3
"RonaldReagan-2",6
"RutherfordBHayes-1",2
"TheodoreRoosevelt-1",8
"ThomasJefferson-1",5
"ThomasJefferson-2",7
"UlyssesSGrant-1",1
"UlyssesSGrant-2",2
"WarrenGHarding-1",8
"WilliamHenryHarrison-1",4
"WilliamHowardTaft-1",2
"WilliamJClinton-1",6
"WilliamJClinton-2",6
"WilliamMcKinley-1",2
"WilliamMcKinley-2",2
"WoodrowWilson-1",8
"WoodrowWilson-2",8
"ZacharyTaylor-1",4
