"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","peopl","law","hope","state","public","america","nation","nation"
"2","countri","govern","man","power","govern","american","everi","world"
"3","nation","congress","chang","govern","confid","world","war","peopl"
"4","free","offic","god","constitut","civil","freedom","state","peac"
"5","faith","polici","generat","union","experi","nation","countri","men"
"6","unit","secur","earth","citizen","republ","live","unit","justic"
"7","purpos","elect","call","peopl","relat","work","principl","life"
"8","peac","busi","strength","duti","servic","govern","foreign","progress"
"9","best","administr","seek","execut","promot","togeth","fellowcitizen","forc"
"10","law","enforc","hand","institut","just","presid","respect","econom"
"11","everi","trade","friend","part","result","centuri","interest","action"
"12","secur","interest","war","author","limit","liberti","commerc","human"
"13","other","parti","begin","object","mind","citizen","import","task"
"14","prosper","execut","alway","opinion","polit","respons","happi","determin"
"15","mean","protect","moment","protect","devot","everi","equal","freedom"
"16","equal","import","nation","liberti","expect","heart","just","seek"
"17","true","oblig","life","exist","home","histori","necessari","hold"
"18","requir","question","pledg","spirit","establish","fellow","forc","industri"
"19","question","american","light","form","among","better","present","system"
"20","common","effect","reach","preserv","encourag","land","high","opportun"
